,,,-
0,Acoustic grand piano,,
1,Bright acoustic piano,,
2,Electric grand piano,,
3,Honky tonk piano,,
4,Electric piano 1,,
5,Electric piano 2,,
6,Harpsicord,,
7,Clavinet,,
8,Celesta,,
9,Glockenspiel,,
10,Music box,,
11,Vibraphone,,
12,Marimba,,
13,Xylophone,,
14,Tubular bell,,
15,Dulcimer,,
16,Hammond / drawbar organ,,
17,Percussive organ,,
18,Rock organ,,
19,Church organ,,
20,Reed organ,,
21,Accordion,,
22,Harmonica,,
23,Tango accordion,,
24,Nylon string acoustic guitar,,
25,Steel string acoustic guitar,,
26,Jazz electric guitar,,
27,Clean electric guitar,,
28,Muted electric guitar,,
29,Overdriven guitar,,
30,Distortion guitar,,
31,Guitar harmonics,,
32,Acoustic bass,,
33,Fingered electric bass,,
34,Picked electric bass,,
35,Fretless bass,,
36,Slap bass 1,,
37,Slap bass 2,,
38,Synth bass 1,,
39,Synth bass 2,,
40,Violin,,
41,Viola,,
42,Cello,,
43,Contrabass,,
44,Tremolo strings,,
45,Pizzicato strings,,
46,Orchestral strings / harp,,
47,Timpani,,
48,String ensemble 1,,
49,String ensemble 2 / slow strings,,
50,Synth strings 1,,
51,Synth strings 2,,
52,Choir aahs,,
53,Voice oohs,,
54,Synth choir / voice,,
55,Orchestra hit,,
56,Trumpet,,
57,Trombone,,
58,Tuba,,
59,Muted trumpet,,
60,French horn,,
61,Brass ensemble,,
62,Synth brass 1,,
63,Synth brass 2,,
64,Soprano sax,,
65,Alto sax,,
66,Tenor sax,,
67,Baritone sax,,
68,Oboe,,
69,English horn,,
70,Bassoon,,
71,Clarinet,,
72,Piccolo,,
73,Flute,,
74,Recorder,,
75,Pan flute,,
76,Bottle blow / blown bottle,,
77,Shakuhachi,,
78,Whistle,,
79,Ocarina,,
80,Synth square wave,,
81,Synth saw wave,,
82,Synth calliope,,
83,Synth chiff,,
84,Synth charang,,
85,Synth voice,,
86,Synth fifths saw,,
87,Synth brass and lead,,
88,Fantasia / new age,,
89,Warm pad,,
90,Polysynth,,
91,Space vox / choir,,
92,Bowed glass,,
93,Metal pad,,
94,Halo pad,,
95,Sweep pad,,
96,Ice rain,,
97,Soundtrack,,
98,Crystal,,
99,Atmosphere,,
100,Brightness,,
101,Goblins,,
102,Echo drops / echoes,,
103,Sci fi,,
104,Sitar,,
105,Banjo,,
106,Shamisen,,
107,Koto,,
108,Kalimba,,
109,Bag pipe,,
110,Fiddle,,
111,Shanai,,
112,Tinkle bell,,
113,Agogo,,
114,Steel drums,,
115,Woodblock,,
116,Taiko drum,,
117,Melodic tom,,
118,Synth drum,,
119,Reverse cymbal,,
120,Guitar fret noise,,
121,Breath noise,,
122,Seashore,,
123,Bird tweet,,
124,Telephone ring,,
125,Helicopter,,
126,Applause,,
127,Gunshot,,
